/* DATA DESCRIPTION:
Citation:	Kudrass, H-R et al. (2001): Sea surface salinity reconstructed from sediment core SO93-126KL. doi:10.1594/PANGAEA.57608, 
	In Supplement to: Kudrass, Hermann-Rudolph; Hofmann, Annette; Doose, Heidi; Emeis, Kay-Christian; Erlenkeuser, Helmut (2001): Modulation and amplification of climatic changes in the Northern Hemisphere by the Indian summer monsoon during the past 80 k.y. Geology, 29(1), 63-66, doi:10.1130/0091-7613(2001)029<0063:MAAOCC>2.0.CO;2
Coverage:	LATITUDE: 19.973333 * LONGITUDE: 90.033333
	MINIMUM AGE: 0.000 ka BP * MAXIMUM AGE: 100.000 ka BP
Event(s):	SO93-126KL * LATITUDE: 19.973333 * LONGITUDE: 90.033333 * DATE/TIME: 1994-01-15T00:00:00 * ELEVATION: -1250.0 m * LOCATION: Bengal Fan * CAMPAIGN: SO93 (BENGAL FÄCHER) * BASIS: Sonne (URI: http://www.bgr.de/fs_sonne/) * DEVICE: Piston corer (BGR type) (KL) * COMMENT: continental slope, upslope thickening
Parameter(s):	AGE [ka BP] (Age) * Geocode
	Sea surface salinity (SSS) * PI: Kudrass, Hermann-Rudolph (eMail: kudrass@bgr.de)
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	1001 data points
*/
Age [ka BP]	SSS
0.0	33.36
0.1	33.48
0.2	33.56
0.3	33.20
0.4	32.84
0.5	32.56
0.6	32.29
0.7	32.20
0.8	32.25
0.9	32.30
1.0	32.34
1.1	32.40
1.2	32.58
1.3	32.76
1.4	32.83
1.5	32.87
1.6	32.86
1.7	32.82
1.8	32.78
1.9	32.73
2.0	32.68
2.1	32.56
2.2	32.44
2.3	32.22
2.4	31.99
2.5	31.85
2.6	31.80
2.7	31.72
2.8	31.64
2.9	31.60
3.0	31.67
3.1	31.90
3.2	32.10
3.3	32.10
3.4	31.95
3.5	31.83
3.6	31.85
3.7	31.88
3.8	31.75
3.9	31.46
4.0	31.19
4.1	31.08
4.2	31.08
4.3	31.07
4.4	31.07
4.5	31.30
4.6	31.49
4.7	31.56
4.8	31.59
4.9	31.57
5.0	31.48
5.1	31.40
5.2	31.34
5.3	31.28
5.4	31.25
5.5	31.22
5.6	31.26
5.7	31.33
5.8	31.25
5.9	30.88
6.0	30.86
6.1	30.97
6.2	31.08
6.3	31.19
6.4	31.32
6.5	31.51
6.6	31.64
6.7	31.67
6.8	31.64
6.9	31.66
7.0	31.68
7.1	31.54
7.2	31.30
7.3	31.06
7.4	31.32
7.5	31.67
7.6	31.99
7.7	32.18
7.8	32.25
7.9	31.92
8.0	31.46
8.1	31.12
8.2	31.40
8.3	32.18
8.4	31.68
8.5	31.61
8.6	31.77
8.7	31.96
8.8	31.70
8.9	31.39
9.0	31.42
9.1	31.49
9.2	31.59
9.3	31.81
9.4	31.68
9.5	31.49
9.6	32.10
9.7	32.04
9.8	31.73
9.9	31.20
10.0	31.62
10.1	32.04
10.2	32.43
10.3	32.74
10.4	32.59
10.5	32.44
10.6	32.30
10.7	32.19
10.8	32.16
10.9	32.13
11.0	32.06
11.1	32.14
11.2	32.38
11.3	32.62
11.4	32.89
11.5	33.09
11.6	33.23
11.7	33.17
11.8	33.01
11.9	33.04
12.0	33.11
12.1	33.21
12.2	33.28
12.3	33.35
12.4	33.42
12.5	33.50
12.6	33.57
12.7	33.25
12.8	32.93
12.9	32.60
13.0	32.60
13.1	32.76
13.2	32.89
13.3	32.98
13.4	32.98
13.5	32.78
13.6	32.58
13.7	32.38
13.8	32.18
13.9	32.58
14.0	32.98
14.1	31.92
14.2	32.57
14.3	32.93
14.4	33.50
14.5	33.77
14.6	34.04
14.7	33.86
14.8	33.65
14.9	34.19
15.0	34.27
15.1	33.94
15.2	33.58
15.3	33.23
15.4	32.88
15.5	32.50
15.6	32.73
15.7	32.74
15.8	33.67
15.9	35.04
16.0	34.99
16.1	34.85
16.2	34.78
16.3	34.67
16.4	34.54
16.5	34.40
16.6	34.27
16.7	34.20
16.8	34.20
16.9	34.24
17.0	34.53
17.1	34.85
17.2	35.17
17.3	35.18
17.4	34.95
17.5	34.72
17.6	34.59
17.7	34.80
17.8	35.00
17.9	35.21
18.0	35.14
18.1	35.02
18.2	34.86
18.3	34.74
18.4	34.66
18.5	34.57
18.6	34.56
18.7	34.83
18.8	35.11
18.9	35.38
19.0	35.11
19.1	34.75
19.2	34.42
19.3	34.37
19.4	34.59
19.5	34.80
19.6	34.99
19.7	35.04
19.8	35.10
19.9	35.15
20.0	35.06
20.1	34.92
20.2	34.71
20.3	34.48
20.4	34.25
20.5	34.01
20.6	33.84
20.7	33.98
20.8	34.14
20.9	34.38
21.0	34.68
21.1	34.96
21.2	35.13
21.3	35.24
21.4	35.19
21.5	35.13
21.6	35.08
21.7	35.02
21.8	34.96
21.9	34.87
22.0	34.78
22.1	34.72
22.2	34.67
22.3	34.62
22.4	34.67
22.5	34.72
22.6	34.70
22.7	34.58
22.8	34.46
22.9	34.40
23.0	34.33
23.1	34.29
23.2	34.26
23.3	34.24
23.4	34.35
23.5	34.42
23.6	34.21
23.7	34.14
23.8	34.49
23.9	34.35
24.0	35.34
24.1	35.22
24.2	35.04
24.3	34.47
24.4	33.89
24.5	34.25
24.6	34.62
24.7	34.47
24.8	34.26
24.9	34.16
25.0	34.07
25.1	34.44
25.2	34.81
25.3	34.90
25.4	34.96
25.5	35.04
25.6	34.86
25.7	34.71
25.8	34.83
25.9	34.95
26.0	34.92
26.1	34.73
26.2	34.41
26.3	34.25
26.4	34.33
26.5	34.17
26.6	33.98
26.7	34.20
26.8	34.52
26.9	34.60
27.0	34.67
27.1	34.43
27.2	34.38
27.3	34.47
27.4	34.50
27.5	34.40
27.6	34.29
27.7	34.18
27.8	34.57
27.9	34.48
28.0	34.61
28.1	34.08
28.2	34.36
28.3	34.66
28.4	34.54
28.5	34.43
28.6	34.37
28.7	34.34
