1	4.33	4.346	28.92
5	4.53	4.46	29.2
6	4.58	4.442	29.15
9	4.72	4.195	28.55
13	4.91	4.109	28.33
15	4.99	4.564	29.44
18	5.09	4.12	28.36
20	5.16	4.403	29.06
23	5.25	4.022	28.11
25	5.32	4.435	29.14
28	5.42	4.104	28.32
30	5.48	4.703	29.75
33	5.58	4.243	28.67
35	5.64	4.182	28.52
38	5.74	4.073	28.24
40	5.80	4.631	29.59
43	5.90	4.226	28.63
45	5.97	4.363	28.96
47	6.03	4.608	29.54
48	6.06	4.079	28.25
50	6.13	4.826	30.03
52	6.19	4.515	29.32
54	6.26	4.328	28.88
55	6.29	4.503	29.3
57	6.36	4.459	29.19
58	6.39	4.322	28.86
60	6.48	4.642	29.62
62	6.60	4.393	29.03
63	6.66	4.287	28.78
65	6.79	4.613	29.55
68	6.97	4.495	29.28
69	7.03	4.058	28.2
70	7.09	4.162	28.47
71	7.15	4.308	28.83
74	7.33	4.228	28.63
75	7.39	4.276	28.75
76	7.45	4.233	28.65
80	7.68	4.205	28.58
81	7.74	4.271	28.74
84	7.91	4.337	28.9
85	7.97	4.415	29.09
87	8.09	4.372	28.99
90	8.26	4.404	29.06
95	8.55	4.373	28.99
97	8.67	4.166	28.48
98	8.72	4.429	29.12
100	8.84	4.604	29.53
102	8.96	4.689	29.72
103	9.01	4.406	29.07
104	9.07	4.488	29.26
105	9.13	4.475	29.23
106	9.19	4.518	29.33
107	9.25	4.845	30.07
109	9.36	4.74	29.83
110	9.42	4.556	29.42
111	9.48	4.457	29.19
112	9.54	4.219	28.61
114	9.65	4.322	28.86
115	9.71	4.64	29.61
116	9.77	4.281	28.76
117	9.83	4.506	29.3
118	9.88	4.421	29.1
119	9.94	4.265	28.72
121	10.04	4.396	29.04
122	10.07	4.722	29.8
123	10.11	4.236	28.65
125	10.18	4.462	29.2
126	10.21	4.254	28.7
127	10.24	4.534	29.37
128	10.28	4.331	28.89
129	10.31	4.173	28.49
130	10.35	4.289	28.78
131	10.38	4.506	29.3
132	10.42	4.53	29.36
133	10.45	4.55	29.41
134	10.49	4.374	28.99
136	10.56	4.65	29.63
137	10.59	4.369	28.98
138	10.63	4.369	28.98
139	10.66	4.657	29.65
141	10.73	4.53	29.36
142	10.77	4.309	28.83
143	10.80	4.262	28.72
144	10.84	4.4	29.05
145	10.87	4.326	28.87
146	10.91	4.574	29.46
147	10.94	4.484	29.25
148	10.98	4.459	29.19
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
