/* DATA DESCRIPTION:
Citation:	Leduc, G et al. (2010): Alkenone-derived Holocene Sea Surface Temperature database. doi:10.1594/PANGAEA.737301, 
	In Supplement to: Leduc, Guillaume; Schneider, Ralph R; Kim, Jung-Hyun; Lohmann, Gerrit (2010): Holocene and Eemian Sea surface temperature trends as revealed by alkenone and Mg/Ca paleothermometry. Quaternary Science Reviews, 29(7-8), 989-1004, doi:10.1016/j.quascirev.2010.01.004
Coverage:	MEDIAN LATITUDE: 16.811963 * MEDIAN LONGITUDE: 13.577823 * SOUTH-BOUND LATITUDE: -50.000000 * WEST-BOUND LONGITUDE: -158.190000 * NORTH-BOUND LATITUDE: 74.998083 * EAST-BOUND LONGITUDE: 179.500000
	MINIMUM ORDINAL NUMBER: 1 * MAXIMUM ORDINAL NUMBER: 94
Event(s):	108-658C * LATITUDE: 20.749200 * LONGITUDE: -18.580800 * DATE/TIME START: 1986-03-08T00:45:00 * DATE/TIME END: 1986-03-08T16:00:00 * ELEVATION: -2273.0 m * RECOVERY: 70.38 m * PENETRATION: 72.90 m * LOCATION: Canarias Sea * CAMPAIGN: Leg108 (URI: doi:10.2973/odp.proc.ir.108.1988) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * DEVICE: Drilling/drill rig (DRILL) * COMMENT: 8 cores; 72.9 m cored; 0 m drilled; 96.5 % recovery
	138-846 * LATITUDE: -3.095000 * LONGITUDE: -90.818330 * DATE/TIME START: 1991-05-21T00:00:00 * DATE/TIME END: 1991-05-26T00:00:00 * ELEVATION: -3296.0 m * RECOVERY: 821.61 m * PENETRATION: 871.50 m * LOCATION: South Pacific Ocean * CAMPAIGN: Leg138 (URI: doi:10.2973/odp.proc.ir.138.1992) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * DEVICE: Composite Core (COMPCORE) * COMMENT: 92 cores; 865.5 m cored; 0 m drilled; 94.9 % recovery
	160-967D * LATITUDE: 34.070800 * LONGITUDE: 32.725600 * DATE/TIME START: 1995-04-03T13:50:00 * DATE/TIME END: 1995-04-03T21:15:00 * ELEVATION: -2552.0 m * RECOVERY: 16.89 m * PENETRATION: 16.20 m * LOCATION: Eastern Basin * CAMPAIGN: Leg160 (URI: doi:10.2973/odp.proc.ir.160.1996) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * DEVICE: Drilling/drill rig (DRILL) * COMMENT: 2 cores; 16.2 m cored; 0 m drilled; 104.3 % recovery
	160-969E * LATITUDE: 33.841100 * LONGITUDE: 24.883100 * DATE/TIME START: 1995-04-16T17:55:00 * DATE/TIME END: 1995-04-16T15:20:00 * ELEVATION: -2201.0 m * RECOVERY: 100.23 m * PENETRATION: 97.90 m * LOCATION: Eastern Basin * CAMPAIGN: Leg160 (URI: doi:10.2973/odp.proc.ir.160.1996) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * DEVICE: Drilling/drill rig (DRILL) * COMMENT: 11 core; 97.9 m cored; 0 m drilled; 102.4 % recovery
	161-977 * LATITUDE: 36.031700 * LONGITUDE: -1.955283 * DATE/TIME START: 1995-06-08T00:00:00 * DATE/TIME END: 1995-06-15T00:00:00 * ELEVATION: -1984.0 m * RECOVERY: 545.50 m * PENETRATION: 598.50 m * LOCATION: Alboran Sea * CAMPAIGN: Leg161 (URI: doi:10.2973/odp.proc.ir.161.1996) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * DEVICE: Composite Core (COMPCORE) * COMMENT: 63 cores; 598.5 m cored; 0 m drilled; 91.1% recovery
	165-1002C * LATITUDE: 10.706100 * LONGITUDE: -65.169400 * DATE/TIME START: 1996-02-18T16:30:00 * DATE/TIME END: 1996-02-19T04:30:00 * ELEVATION: -892.6 m * RECOVERY: 186.00 m * PENETRATION: 170.10 m * LOCATION: Cayman Rise, Caribbean Sea * CAMPAIGN: Leg165 (URI: doi:10.2973/odp.proc.ir.165.1997) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * DEVICE: Drilling/drill rig (DRILL) * COMMENT: 19 cores; 170.1 m cored; 0 m drilled; 109.3 % recovery
	167-1012B * LATITUDE: 32.282600 * LONGITUDE: -118.383000 * DATE/TIME START: 1996-05-11T07:30:00 * DATE/TIME END: 1996-05-11T17:15:00 * ELEVATION: -1772.0 m * RECOVERY: 131.26 m * PENETRATION: 132.30 m * LOCATION: North Pacific Ocean * CAMPAIGN: Leg167 (URI: doi:10.2973/odp.proc.ir.167.1997) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * DEVICE: Drilling/drill rig (DRILL) * COMMENT: 14 cores; 132.3 m cored; 0 m drilled; 99.2 % recovery
